id,city_name,humidity,latitude,longtitude,sunset_time,surnise_time,temperature,time_of_record,wind_speed
1736266223,Sbikha,67,35.9444,9.799,1736266929,1736231498,11.18,1736266223,10.23
1736268190,Sbikha,72,35.9444,9.799,1736266929,1736231498,10.39,1736268190,10.17
1736265497,Gouvernorat de Gabès,45,33.8815,9.5608,1736267293,1736231248,16.4,1736265497,4.42
1736267292,Ben Arous,77,36.7134,10.2096,1736266711,1736231519,14.9,1736267292,6.17
1736266706,Mahdia,57,35.5068,11.0468,1736266696,1736231132,16.15,1736266706,1.56
1736267919,Sbiba,78,35.4037,9.0079,1736267201,1736231606,7.23,1736267919,10.13
1736266218,Bab El Jazira,67,36.8064,10.1817,1736266703,1736231540,15.99,1736266218,7.72
1736266560,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736266560,4.12
1736265735,Jendouba,63,36.5123,8.7682,1736267088,1736231833,15.03,1736265735,5.14
1736265820,Jendouba,63,36.5123,8.7682,1736267088,1736231833,15.03,1736265820,5.14
1736265382,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736265382,4.63
1736267024,El Kef,75,36.1632,8.7146,1736267155,1736231792,10.35,1736267024,6.32
1736265716,Kairouan,34,35.6712,10.0911,1736266900,1736231387,19.01,1736265716,3.09
1736267469,Bab El Jazira,77,36.8064,10.1817,1736266703,1736231540,14.99,1736267469,6.17
1736268292,Kasserine,74,35.1677,8.8315,1736267279,1736231613,9.32,1736268292,7.42
1736267620,El Kef,84,36.1632,8.7146,1736267155,1736231792,8.68,1736267620,3.67
1736264985,Ben Arous,67,36.7134,10.2096,1736266711,1736231519,15.9,1736264985,7.72
1736265458,Kairouan,34,35.7976,10.126,1736266872,1736231397,19.24,1736265458,3.09
1736266762,Gabès,63,33.8869,10.0982,1736267163,1736231120,15.99,1736266762,5.14
1736265052,Kasserine,62,35.1677,8.8315,1736267279,1736231613,11.21,1736265052,8.34
1736267046,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736267046,4.58
1736265959,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736265959,6.26
1736266751,Jendouba,77,36.4462,8.7927,1736267093,1736231817,13.97,1736266751,2.57
1736265074,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736265074,6.04
1736265486,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736265486,4.58
1736266325,Sbiba,71,35.4037,9.0079,1736267201,1736231606,8.82,1736266325,9.9
1736268015,Aryanah,77,36.8625,10.1956,1736266691,1736231546,14.97,1736268015,6.17
1736267069,Jendouba,77,36.5123,8.7682,1736267088,1736231833,14.03,1736267069,2.57
1736266643,Sbikha,67,35.9444,9.799,1736266929,1736231498,11.18,1736266643,10.23
1736265837,Kasserine,62,35.1677,8.8315,1736267279,1736231613,11.21,1736265837,8.34
1736265409,Jendouba,63,36.5123,8.7682,1736267088,1736231833,15.03,1736265409,5.14
1736265437,Gouvernorat de Kébili,43,33.5031,8.7757,1736267536,1736231382,16.46,1736265437,4.58
1736267813,Carthage,77,36.8473,10.3417,1736266658,1736231508,15.02,1736267813,6.17
1736267124,Ben Arous,77,36.7134,10.2096,1736266711,1736231519,14.9,1736267124,6.17
1736266946,Sfax,45,34.7396,10.76,1736266879,1736231086,20.08,1736266946,0.51
1736266880,Sousse,59,35.8214,10.6344,1736266747,1736231279,17.79,1736266880,4.12
1736265262,El Kef,75,36.1632,8.7146,1736267155,1736231792,10.35,1736265262,6.32
1736266386,Ben Arous,77,36.7134,10.2096,1736266711,1736231519,14.9,1736266386,6.17
1736265179,Bab El Jazira,67,36.8064,10.1817,1736266703,1736231540,15.99,1736265179,7.72
1736265344,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736265344,6.26
1736266111,Carthage,67,36.8473,10.3417,1736266658,1736231508,16.02,1736266111,7.72
1736267953,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736267953,3.09
1736268104,Kairouan,42,35.7976,10.126,1736266872,1736231397,18.24,1736268104,3.09
1736265976,Sfax,42,34.7396,10.76,1736266879,1736231086,20.08,1736265976,2.57
1736268132,Jendouba,77,36.4462,8.7927,1736267093,1736231817,13.97,1736268132,2.57
1736265338,Aryanah,67,36.8625,10.1956,1736266691,1736231546,15.97,1736265338,7.72
1736265191,Mahdia,57,35.5068,11.0468,1736266696,1736231132,16.15,1736265191,1.56
1736265134,Sfax,42,34.7396,10.76,1736266879,1736231086,20.08,1736265134,2.57
1736264403,Beni Kheddache,54,33.1381,10.269,1736267230,1736230971,13.32,1736264403,6.26
1736266151,Sbikha,67,35.9444,9.799,1736266929,1736231498,11.18,1736266151,10.23
1736267164,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736267164,6.04
1736268359,Sbikha,72,35.9444,9.799,1736266929,1736231498,10.39,1736268359,10.17
1736264952,Gouvernorat de Gabès,45,33.8815,9.5608,1736267293,1736231248,16.4,1736264952,4.42
1736267197,Kairouan,42,35.6712,10.0911,1736266900,1736231387,18.01,1736267197,3.09
1736267869,Bab El Jazira,77,36.8064,10.1817,1736266703,1736231540,14.99,1736267869,6.17
1736264275,Fernana,82,36.7422,8.6626,1736267078,1736231895,8.21,1736264275,6.04
1736267193,Bizerte,68,37.2744,9.8739,1736266703,1736231688,15.25,1736267193,11.46
1736264974,Mahdia,57,35.5068,11.0468,1736266696,1736231132,16.15,1736264974,1.56
1736265683,Kasserine,62,35.1677,8.8315,1736267279,1736231613,11.21,1736265683,8.34
1736267670,Kasserine,74,35.1677,8.8315,1736267279,1736231613,9.32,1736267670,7.42
1736268166,Kairouan,42,35.6712,10.0911,1736266900,1736231387,18.01,1736268166,3.09
1736264980,Aryanah,67,36.8625,10.1956,1736266691,1736231546,15.97,1736264980,7.72
1736264990,El Kef,75,36.1632,8.7146,1736267155,1736231792,10.35,1736264990,6.32
