,id,city_name,humidity,latitude,longtitude,temperature,wind_speed,date,sunrise,sunset
58,1736267480,El Kef,84,36.1632,8.7146,8.68,3.67,2025-01-07 11:31:20,2025-01-07 01:36:32,2025-01-07 11:25:55
59,1736265030,Gouvernorat de Kébili,43,33.5031,8.7757,16.46,4.58,2025-01-07 10:50:30,2025-01-07 01:29:42,2025-01-07 11:32:16
60,1736265572,Carthage,67,36.8473,10.3417,16.02,7.72,2025-01-07 10:59:32,2025-01-07 01:31:48,2025-01-07 11:17:38
61,1736267825,Kasserine,74,35.1677,8.8315,9.32,7.42,2025-01-07 11:37:05,2025-01-07 01:33:33,2025-01-07 11:27:59
62,1736267508,Gabès,63,33.8869,10.0982,15.99,5.14,2025-01-07 11:31:48,2025-01-07 01:25:20,2025-01-07 11:26:03
63,1736266397,El Kef,75,36.1632,8.7146,10.35,6.32,2025-01-07 11:13:17,2025-01-07 01:36:32,2025-01-07 11:25:55
64,1736266314,Bizerte,69,37.3426,9.8502,15.28,11.9,2025-01-07 11:11:54,2025-01-07 01:35:05,2025-01-07 11:18:18
65,1736266582,Kairouan,42,35.6712,10.0911,18.01,3.09,2025-01-07 11:16:22,2025-01-07 01:29:47,2025-01-07 11:21:40
66,1736264305,Kairouan,34,35.7976,10.126,19.24,3.09,2025-01-07 10:38:25,2025-01-07 01:29:57,2025-01-07 11:21:12
67,1736267330,Gafsa,55,34.4311,8.7757,15.06,4.63,2025-01-07 11:28:50,2025-01-07 01:31:57,2025-01-07 11:30:01
68,1736267797,Carthage,77,36.8473,10.3417,15.02,6.17,2025-01-07 11:36:37,2025-01-07 01:31:48,2025-01-07 11:17:38
69,1736267786,Gafsa,55,34.4311,8.7757,15.06,4.63,2025-01-07 11:36:26,2025-01-07 01:31:57,2025-01-07 11:30:01
70,1736267058,Jendouba,77,36.5123,8.7682,14.03,2.57,2025-01-07 11:24:18,2025-01-07 01:37:13,2025-01-07 11:24:48
71,1736267659,Kairouan,42,35.7976,10.126,18.24,3.09,2025-01-07 11:34:19,2025-01-07 01:29:57,2025-01-07 11:21:12
72,1736267102,Kairouan,42,35.7976,10.126,18.24,3.09,2025-01-07 11:25:02,2025-01-07 01:29:57,2025-01-07 11:21:12
73,1736266201,Sbiba,71,35.4037,9.0079,8.82,9.9,2025-01-07 11:10:01,2025-01-07 01:33:26,2025-01-07 11:26:41
74,1736268143,Kasserine,74,35.1677,8.8315,9.32,7.42,2025-01-07 11:42:23,2025-01-07 01:33:33,2025-01-07 11:27:59
75,1736264346,Gabès,59,33.8869,10.0982,16.99,5.66,2025-01-07 10:39:06,2025-01-07 01:25:20,2025-01-07 11:26:03
76,1736265582,Ben Arous,67,36.7134,10.2096,15.9,7.72,2025-01-07 10:59:42,2025-01-07 01:31:59,2025-01-07 11:18:31
77,1736268264,Beni Kheddache,59,33.1381,10.269,12.1,5.62,2025-01-07 11:44:24,2025-01-07 01:22:51,2025-01-07 11:27:10
78,1736265150,Kairouan,34,35.7976,10.126,19.24,3.09,2025-01-07 10:52:30,2025-01-07 01:29:57,2025-01-07 11:21:12
79,1736267736,Kairouan,42,35.7976,10.126,18.24,3.09,2025-01-07 11:35:36,2025-01-07 01:29:57,2025-01-07 11:21:12
80,1736264184,Beni Kheddache,54,33.1381,10.269,13.32,6.26,2025-01-07 10:36:24,2025-01-07 01:22:51,2025-01-07 11:27:10
81,1736265831,Aryanah,67,36.8625,10.1956,15.97,7.72,2025-01-07 11:03:51,2025-01-07 01:32:26,2025-01-07 11:18:11
82,1736264370,Fernana,82,36.7422,8.6626,8.21,6.04,2025-01-07 10:39:30,2025-01-07 01:38:15,2025-01-07 11:24:38
83,1736267775,Sbikha,72,35.9444,9.799,10.39,10.17,2025-01-07 11:36:15,2025-01-07 01:31:38,2025-01-07 11:22:09
84,1736266145,Carthage,67,36.8473,10.3417,16.02,7.72,2025-01-07 11:09:05,2025-01-07 01:31:48,2025-01-07 11:17:38
85,1736265621,Fernana,82,36.7422,8.6626,8.21,6.04,2025-01-07 11:00:21,2025-01-07 01:38:15,2025-01-07 11:24:38
86,1736265885,Sousse,59,35.8214,10.6344,17.79,4.63,2025-01-07 11:04:45,2025-01-07 01:27:59,2025-01-07 11:19:07
87,1736268364,Metlaoui,49,34.2744,8.4459,14.11,2.86,2025-01-07 11:46:04,2025-01-07 01:32:53,2025-01-07 11:31:44
88,1736265229,Ben Arous,67,36.7134,10.2096,15.9,7.72,2025-01-07 10:53:49,2025-01-07 01:31:59,2025-01-07 11:18:31
89,1736266829,Sfax,45,34.7396,10.76,20.08,0.51,2025-01-07 11:20:29,2025-01-07 01:24:46,2025-01-07 11:21:19
90,1736265826,Gouvernorat de Kébili,43,33.5031,8.7757,16.46,4.58,2025-01-07 11:03:46,2025-01-07 01:29:42,2025-01-07 11:32:16
91,1736268149,Sfax,45,34.7396,10.76,20.08,0.51,2025-01-07 11:42:29,2025-01-07 01:24:46,2025-01-07 11:21:19
92,1736265415,Gouvernorat de Gabès,45,33.8815,9.5608,16.4,4.42,2025-01-07 10:56:55,2025-01-07 01:27:28,2025-01-07 11:28:13
93,1736266745,Gouvernorat de Gabès,45,33.8815,9.5608,16.4,4.42,2025-01-07 11:19:05,2025-01-07 01:27:28,2025-01-07 11:28:13
94,1736266687,Bizerte,68,37.2744,9.8739,15.25,11.46,2025-01-07 11:18:07,2025-01-07 01:34:48,2025-01-07 11:18:23
95,1736266660,Metlaoui,45,34.2744,8.4459,15.5,4.4,2025-01-07 11:17:40,2025-01-07 01:32:53,2025-01-07 11:31:44
96,1736265278,Jendouba,63,36.4462,8.7927,14.97,5.14,2025-01-07 10:54:38,2025-01-07 01:36:57,2025-01-07 11:24:53
